Performing system checks...

System check identified no issues (0 silenced).
June 10, 2015 - 17:33:43
Django version 1.8.2, using settings 'BGPInspector.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.
         258486 function calls (251489 primitive calls) in 355.578 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      355    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:739(__exit__)
     1420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
      690    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      710    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:824(cached)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      624    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      368    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       16    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FieldInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PathInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TableInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:76(_Feature)
        8    0.000    0.000    0.000    0.000 __future__.py:77(__init__)
       45    0.000    0.000    0.429    0.010 __init__.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:1005(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1029(_StderrHandler)
       12    0.000    0.000    0.003    0.000 __init__.py:103(lazy_number)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1053(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:1059(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(append)
        3    0.000    0.000    0.000    0.000 __init__.py:1065(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(CharField)
       12    0.000    0.000    0.000    0.000 __init__.py:108(NumberAwareString)
       14    0.000    0.000    0.001    0.000 __init__.py:1080(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1097(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1102(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1113(getLogger)
        6    0.000    0.000    0.001    0.000 __init__.py:1127(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1137(CommaSeparatedIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1151(DateTimeCheckMixin)
        6    0.000    0.000    0.000    0.000 __init__.py:1164(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1185(DateField)
        1    0.000    0.000    0.000    0.000 __init__.py:1188(_fixupChildren)
        5    0.000    0.000    0.000    0.000 __init__.py:1195(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Logger)
        7    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:123(DefaultCacheProxy)
        1    0.000    0.000    0.000    0.000 __init__.py:123(ManagementUtility)
        2    0.000    0.000    0.000    0.000 __init__.py:1232(setLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1298(contribute_to_class)
        1    0.000    0.000    0.000    0.000 __init__.py:130(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1329(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(DateTimeField)
       47    0.001    0.000    0.001    0.000 __init__.py:137(__init__)
       12    0.000    0.000    0.003    0.000 __init__.py:137(ungettext_lazy)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1407(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:141(UserSettingsHolder)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.006    0.006 __init__.py:145(activate)
        2    0.000    0.000    0.000    0.000 __init__.py:1489(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:1495(DecimalField)
        1    0.000    0.000    0.000    0.000 __init__.py:1522(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1528(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:153(override)
        1    0.000    0.000    0.000    0.000 __init__.py:1536(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1643(DurationField)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.104    0.104 __init__.py:17(<module>)
        1    0.000    0.000    0.035    0.035 __init__.py:170(fetch_command)
        1    0.000    0.000    0.000    0.000 __init__.py:1703(EmailField)
        1    0.000    0.000    0.000    0.000 __init__.py:1707(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1718(formfield)
        1    0.000    0.000    0.005    0.005 __init__.py:172(get_language)
        1    0.000    0.000    0.000    0.000 __init__.py:1728(FilePathField)
       19    0.000    0.000    0.000    0.000 __init__.py:174(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        9    0.000    0.000    0.000    0.000 __init__.py:1752(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1793(FloatField)
        1    0.000    0.000    0.000    0.000 __init__.py:1827(IntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1881(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1897(BigIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:1897(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1912(IPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1922(captureWarnings)
        1    0.000    0.000    0.000    0.000 __init__.py:193(autocomplete)
        1    0.000    0.000    0.000    0.000 __init__.py:1948(GenericIPAddressField)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        3    0.000    0.000    0.088    0.029 __init__.py:2(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:20(find_commands)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:200(deactivate_all)
        1    0.000    0.000    0.000    0.000 __init__.py:2026(NullBooleanField)
       22    0.000    0.000    0.000    0.000 __init__.py:203(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2090(PositiveIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2102(PositiveSmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2114(SlugField)
       22    0.000    0.000    0.000    0.000 __init__.py:212(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2144(SmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2151(TextField)
        1    0.000    0.000    0.000    0.000 __init__.py:2172(TimeField)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:223(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        2    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:23(LazySettings)
        1    0.000    0.000    0.009    0.009 __init__.py:23(autodiscover)
        1    0.000    0.000    0.000    0.000 __init__.py:2306(URLField)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2330(BinaryField)
        1    0.000    0.000    0.000    0.000 __init__.py:2373(UUIDField)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:250(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:255(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:260(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:263(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:266(_reset_cache)
        1    0.000    0.000  355.528  355.528 __init__.py:273(execute) --------------------------------------------------------------------
        1    0.000    0.000    0.000    0.000 __init__.py:29(DefaultConnectionProxy)
        1    0.000    0.000    0.000    0.000 __init__.py:29(TranslatorCommentWarning)
        1    0.000    0.000    0.001    0.001 __init__.py:29(_setup)
       23    0.001    0.000    0.012    0.001 __init__.py:297(namedtuple)
        6    0.000    0.000    0.097    0.016 __init__.py:3(<module>)
        8    0.000    0.000    0.002    0.000 __init__.py:30(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:318(CDLL)
        1    0.000    0.000  355.528  355.528 __init__.py:333(execute_from_command_line) ----------------------------------------------------
        2    0.000    0.000    0.001    0.000 __init__.py:335(__init__)
        1    0.000    0.000    0.033    0.033 __init__.py:34(load_command_class)
        2    0.000    0.000    0.000    0.000 __init__.py:345(_FuncPtr)
        9    0.000    0.000    0.011    0.001 __init__.py:35(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:354(PercentStyle)
      128    0.000    0.000    0.000    0.000 __init__.py:357(<genexpr>)
      128    0.000    0.000    0.000    0.000 __init__.py:359(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:360(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:361(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:368(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:369(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:37(BadSerializer)
        1    0.000    0.000    0.000    0.000 __init__.py:374(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:378(StringTemplateStyle)
        1    0.000    0.000    0.012    0.012 __init__.py:40(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:402(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:41(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:41(Trans)
       70    0.000    0.000    0.002    0.000 __init__.py:41(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:414(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
        1    0.000    0.000    0.002    0.002 __init__.py:44(get_commands)
        1    0.000    0.000    0.000    0.000 __init__.py:446(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:450(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:455(__eq__)
      110    0.000    0.000    0.001    0.000 __init__.py:46(__getattr__)
      129    0.000    0.000    0.000    0.000 __init__.py:461(__lt__)
        2    0.000    0.000    0.000    0.000 __init__.py:469(most_common)
       17    0.000    0.000    0.000    0.000 __init__.py:470(__deepcopy__)
        3    0.000    0.000    0.000    0.000 __init__.py:479(PYFUNCTYPE)
